Tangential Coordintae (mm)	Measured Slope (rad)
-78.	-0.0012726807927055082
-77.8	-0.0012920750249608257
-77.6	-0.0013104012345984738
-77.4	-0.001316918725944399
-77.2	-0.0013247024396757577
-77.	-0.0013292942388780028
-76.8	-0.001327883246043823
-76.6	-0.0013233826388976782
-76.4	-0.001317856992841403
-76.2	-0.0013127886546952532
-76.	-0.001308128158001625
-75.8	-0.0013039690342101448
-75.6	-0.0012997729132721654
-75.4	-0.0012954677121456053
-75.2	-0.0012913663965750826
-75.	-0.0012873193574459189
-74.8	-0.0012832762305511306
-74.6	-0.0012793069813010409
-74.4	-0.0012754986963931557
-74.2	-0.0012715971852597576
-74.	-0.0012678887819488102
-73.8	-0.001264142313561919
-73.6	-0.0012603644742644003
-73.4	-0.0012566826711415688
-73.2	-0.001252931504535271
-73.	-0.0012490719969630406
-72.8	-0.001245338277885207
-72.6	-0.001241540252925954
-72.4	-0.0012376546097785178
-72.2	-0.0012339232772718282
-72.	-0.0012301539154695401
-71.8	-0.001226201306655069
-71.6	-0.0012223226781875487
-71.4	-0.0012185237675684391
-71.2	-0.0012145818235773868
-71.	-0.0012106860681754563
-70.8	-0.0012068307054420387
-70.6	-0.0012029860373104697
-70.4	-0.001199290995288242
-70.2	-0.001195485891203406
-70.	-0.0011915914927583516
-69.8	-0.0011878878939694448
-69.6	-0.0011841676566688199
-69.4	-0.0011803362228066073
-69.2	-0.0011765526379047247
-69.	-0.0011729271103521164
-68.8	-0.0011690059326749734
-68.6	-0.001165223114735847
-68.4	-0.0011615137738307266
-68.2	-0.0011576351930649422
-68.	-0.0011537528541386295
-67.8	-0.0011500477406683636
-67.6	-0.0011463307114417374
-67.4	-0.0011424614567575669
-67.2	-0.0011387094563833848
-67.	-0.0011348101451614581
-66.8	-0.001131050586865251
-66.6	-0.0011273054622338015
-66.4	-0.0011233712864844136
-66.2	-0.0011195940837071818
-66.	-0.0011159439171323706
-65.8	-0.0011122967746183727
-65.6	-0.0011083859200183032
-65.4	-0.0011046856467460222
-65.2	-0.0011009208933600782
-65.	-0.0010971980911580219
-64.8	-0.0010934340864291602
-64.6	-0.0010896073064007518
-64.4	-0.0010857574170199413
-64.2	-0.001082107518549958
-64.	-0.0010784462659422108
-63.8	-0.0010746295155748277
-63.6	-0.0010709279091740964
-63.4	-0.0010671410653732393
-63.2	-0.0010632886849204076
-63.	-0.0010595553211186397
-62.8	-0.0010557889817276
-62.6	-0.0010519559539703017
-62.4	-0.0010483054438347665
-62.2	-0.0010447434546815393
-62.	-0.0010410191934659685
-61.8	-0.0010373812878779576
-61.6	-0.0010337706770509368
-61.4	-0.0010299332605708668
-61.2	-0.0010262919547951628
-61.	-0.0010225756597666941
-60.8	-0.0010187301851393923
-60.6	-0.0010149902688687935
-60.4	-0.0010114128411495295
-60.2	-0.0010078073944685144
-60.	-0.0010040300504056952
-59.8	-0.0010004494250759866
-59.6	-0.0009967697173518732
-59.4	-0.0009930518354082014
-59.2	-0.0009893593602143037
-59.	-0.000985593372714108
-58.8	-0.000981738671372265
-58.6	-0.000978027188216551
-58.4	-0.0009743385687583762
-58.2	-0.0009706599902247467
-58.	-0.0009670094782102335
-57.8	-0.0009633380929352319
-57.6	-0.0009596579243566927
-57.4	-0.0009560443905045141
-57.2	-0.0009523785936608734
-57.	-0.0009486602449739947
-56.8	-0.0009450125586181284
-56.6	-0.000941423704401576
-56.4	-0.0009378111944035437
-56.2	-0.0009341521059938405
-56.	-0.0009306623766996756
-55.8	-0.0009270721346548993
-55.6	-0.0009233944001303318
-55.4	-0.0009197834909052003
-55.2	-0.0009161000358631488
-55.	-0.0009123463207248148
-54.8	-0.0009086615120766912
-54.6	-0.0009050307250668037
