Tangential Coordintae (mm)	Measured Slope (rad)
-62.6	-0.0011292747980667043
-62.4	-0.0011256295524592313
-62.2	-0.0011219035844040786
-62.	-0.0011182389167753075
-61.8	-0.0011145990308694077
-61.6	-0.0011109862881280008
-61.4	-0.00110736763505515
-61.2	-0.001103714246166912
-61.	-0.0011000226500617982
-60.8	-0.0010962730059731764
-60.6	-0.0010925636415506205
-60.4	-0.001088814318527464
-60.2	-0.0010850897002535605
-60.	-0.001081535865478995
-59.8	-0.0010778479950780565
-59.6	-0.0010740944261021653
-59.4	-0.0010704013310888839
-59.2	-0.001066723954256487
-59.	-0.0010629198496703378
-58.8	-0.001059084353171093
-58.6	-0.0010553741564303418
-58.4	-0.001051613000414833
-58.2	-0.0010479762120117256
-58.	-0.0010443336079546078
-57.8	-0.0010406638757115027
-57.6	-0.0010370579673190175
-57.4	-0.0010334731142115346
-57.2	-0.0010298255481030658
-57.	-0.0010261057797111394
-56.8	-0.0010224697384698385
-56.6	-0.0010188147747461941
-56.4	-0.0010152134911830244
-56.2	-0.0010116868961284214
-56.	-0.001008034993531266
-55.8	-0.00100443270655306
-55.6	-0.0010008532852249668
-55.4	-0.0009972244060840565
-55.2	-0.0009934654975638161
-55.	-0.000989710014284863
-54.8	-0.0009860377602590438
-54.6	-0.0009823080207641605
-54.4	-0.000978659943766622
-54.2	-0.0009750581687709616
-54.	-0.0009714164100011533
-53.8	-0.0009678080598230227
-53.6	-0.0009642583988085739
-53.4	-0.0009606749902196582
-53.2	-0.0009569780471203267
-53.	-0.0009533286413397557
-52.8	-0.0009497230807250818
-52.6	-0.000946160716179809
-52.4	-0.0009426173982782363
-52.2	-0.0009390277752085065
-52.	-0.0009354538237565513
-51.8	-0.0009319156054237949
-51.6	-0.0009283795301067392
-51.4	-0.0009247320810078873
-51.2	-0.0009210588532578132
-51.	-0.0009174576624663194
-50.8	-0.0009137468629983807
-50.6	-0.0009101363427609512
-50.4	-0.000906598115324201
-50.2	-0.0009029832938536518
-50.	-0.0008994454953719237
-49.8	-0.0008959862180909792
-49.6	-0.0008925421652029681
-49.4	-0.0008889181675332731
-49.2	-0.0008853524951792081
-49.	-0.0008818855031822414
-48.8	-0.000878312298380719
-48.6	-0.0008747087700116635
-48.4	-0.0008711555697656967
-48.2	-0.000867581128999622
-48.	-0.0008639645535181248
-47.8	-0.0008603506109446489
-47.6	-0.0008567376570252526
-47.4	-0.0008530909582237237
-47.2	-0.0008495413598589402
-47.	-0.0008459641720002373
-46.8	-0.0008424263944982343
-46.6	-0.0008389812229423546
-46.4	-0.0008354568945261758
-46.2	-0.0008319294917961246
-46.	-0.0008284626043834331
-45.8	-0.0008249824273828528
-45.6	-0.0008214963106165246
-45.4	-0.0008179466437922291
-45.2	-0.0008144216602177105
-45.	-0.0008108655204090354
-44.8	-0.0008073845654930313
-44.6	-0.0008040043790684159
-44.4	-0.0008004927989417795
-44.2	-0.0007969216956010873
-44.	-0.0007934505563893468
-43.8	-0.0007899729017202693
-43.6	-0.0007863321754142367
-43.4	-0.0007826941592727557
-43.2	-0.0007791959812867723
-43.	-0.0007756207556000055
-42.8	-0.0007720288161852443
-42.6	-0.0007685861123551137
-42.4	-0.0007650819307828516
-42.2	-0.0007615614087738887
-42.	-0.0007581569667788069
-41.8	-0.0007548361306871892
-41.6	-0.0007513849214462949
-41.4	-0.0007478274638198286
-41.2	-0.0007442907750132928
-41.	-0.0007407340881030434
-40.8	-0.0007371563378468514
-40.6	-0.0007336682127504256
-40.4	-0.0007302146585857461
-40.2	-0.0007268743569435491
-40.	-0.000723563027746528
-39.8	-0.0007201968010547336
-39.6	-0.0007167585071245241
-39.4	-0.0007132775294089805
-39.2	-0.0007097132379406966
-39.	-0.0007061043898479026
-38.8	-0.0007025304990186114
-38.6	-0.0006991297825222662
-38.4	-0.0006956739474836049
-38.2	-0.0006922391364078781
-38.	-0.000688831368906997
-37.8	-0.0006854365192926905
-37.6	-0.0006819137414558866
-37.4	-0.000678353534475668
-37.2	-0.0006749520983754708
-37.	-0.0006715710059970738
-36.8	-0.0006682796546141462
-36.6	-0.0006650799304928565
-36.4	-0.0006617632071601453
-36.2	-0.0006583468723866598
-36.	-0.0006549024981274129
-35.8	-0.0006515013983821531
-35.6	-0.0006480376669382204
-35.4	-0.0006445132155293088
-35.2	-0.0006410949628633886
