Tangential Coordintae (mm)	Measured Slope (rad)
-77.8	-0.0010758483817496559
-77.6	-0.0010729750619797663
-77.4	-0.001070287849918168
-77.2	-0.0010675393696886234
-77.	-0.0010644814775174244
-76.8	-0.0010612559892183098
-76.6	-0.0010580865656279513
-76.4	-0.001054859839702292
-76.2	-0.0010516135632383564
-76.	-0.0010485198764237254
-75.8	-0.0010455228132538316
-75.6	-0.0010426052922753522
-75.4	-0.0010399010283925587
-75.2	-0.0010372140253123855
-75.	-0.00103460433992898
-74.8	-0.001031993321007911
-74.6	-0.00102920577202061
-74.4	-0.0010263044953153003
-74.2	-0.0010234967762313676
-74.	-0.0010207073072593872
-73.8	-0.0010178142259513678
-73.6	-0.0010150513812652638
-73.4	-0.0010122514214791877
-73.2	-0.001009428230297047
-73.	-0.0010066065325977681
-72.8	-0.0010037825843053625
-72.6	-0.0010009791385429982
-72.4	-0.0009982464734466974
-72.2	-0.0009954277823471178
-72.	-0.0009924882064612352
-71.8	-0.0009896920119469457
-71.6	-0.000986908076187597
-71.4	-0.0009840859382990144
-71.2	-0.0009812532550386598
-71.	-0.0009784650761347977
-70.8	-0.000975600112543143
-70.6	-0.0009727281756243768
-70.4	-0.0009699043440562703
-70.2	-0.0009671229598456565
-70.	-0.0009643708043221587
-69.8	-0.0009616968936599294
-69.6	-0.0009587785196851064
-69.4	-0.0009558096575438067
-69.2	-0.0009529957687404778
-69.	-0.0009501344057070775
-68.8	-0.0009471603167191293
-68.6	-0.0009442585212409045
-68.4	-0.0009413620150792663
-68.2	-0.0009384515419433085
-68.	-0.0009357107297176471
-67.8	-0.0009329840549136525
-67.6	-0.0009303217877175985
-67.4	-0.0009276985477331094
-67.2	-0.0009249689416137306
-67.	-0.0009221513882971667
-66.8	-0.0009193620893702962
-66.6	-0.0009166459122988203
-66.4	-0.0009138307613097627
-66.2	-0.0009110565132984488
-66.	-0.0009082366021416566
-65.8	-0.0009054463700995415
-65.6	-0.0009026626711554996
-65.4	-0.0008999575603623006
-65.2	-0.0008971606546669885
-65.	-0.0008944349676388601
-64.8	-0.0008916827432008087
-64.6	-0.0008887511862528483
-64.4	-0.0008858763526832795
-64.2	-0.0008831171200867125
-64.	-0.0008803743397750227
-63.8	-0.0008775401533060984
-63.6	-0.0008747472898612294
-63.4	-0.0008719349313840346
-63.2	-0.0008690528555193728
-63.	-0.0008662685035224162
-62.8	-0.0008634298509495715
-62.6	-0.0008606487826931573
-62.4	-0.0008578565999919254
-62.2	-0.0008550478521956252
-62.	-0.0008521666629396222
-61.8	-0.000849380079858541
-61.6	-0.0008466874704220806
-61.4	-0.0008438397737631718
-61.2	-0.0008410460636287947
-61.	-0.0008381904009231259
-60.8	-0.000835260020459993
-60.6	-0.0008323591921819827
-60.4	-0.0008294616243338415
-60.2	-0.0008266701515571016
-60.	-0.0008239162603131245
-59.8	-0.0008211560977214296
-59.6	-0.000818411447137682
-59.4	-0.0008156476322324401
-59.2	-0.0008129771450561187
-59.	-0.0008102759033165982
-58.8	-0.0008075578453859071
-58.6	-0.0008048158427786681
-58.4	-0.0008020476525042276
-58.2	-0.0007992038069325525
-58.	-0.0007964710731494134
-57.8	-0.0007936734213081833
-57.6	-0.0007908665477779835
-57.4	-0.0007881353892380154
-57.2	-0.0007852332457164169
-57.	-0.0007823335748570746
-56.8	-0.0007795135719127316
-56.6	-0.0007767760824651009
-56.4	-0.0007739255511834798
-56.2	-0.000771177692273936
-56.	-0.0007683199345440528
-55.8	-0.0007655057555218594
-55.6	-0.0007627559510874974
-55.4	-0.0007599602073297011
-55.2	-0.0007572303261063184
-55.	-0.0007545070607681361
-54.8	-0.0007517809755402366
-54.6	-0.000748899910737181
-54.4	-0.0007460561360588562
-54.2	-0.0007433086632653517
-54.	-0.0007404944223339741
-53.8	-0.0007376380007156792
-53.6	-0.0007348089736406408
-53.4	-0.0007318970326398922
-53.2	-0.0007290306698915863
-53.	-0.0007262898079014418
-52.8	-0.0007234412712365372
-52.6	-0.0007207300824583949
-52.4	-0.0007180648965806192
-52.2	-0.0007152170229162913
-52.	-0.0007124049634805644
-51.8	-0.0007096830691610656
-51.6	-0.0007069694589715732
-51.4	-0.0007041484633497777
-51.2	-0.0007013562088651479
-51.	-0.0006985213814803449
-50.8	-0.000695649771922067
-50.6	-0.0006928909853022253
-50.4	-0.0006900758860794668
-50.2	-0.0006873731717222363
-50.	-0.00068468839001361
-49.8	-0.0006820229591549092
-49.6	-0.0006792483857326915
-49.4	-0.0006764496450105439
-49.2	-0.0006737691865615212
-49.	-0.0006710071673552176
-48.8	-0.0006682287250263158
-48.6	-0.0006653810512574716
-48.4	-0.0006625093618603449
-48.2	-0.0006596161097718472
-48.	-0.000656726680551533
-47.8	-0.0006538942096861103
-47.6	-0.0006511806928127732
-47.4	-0.0006484752215705046
-47.2	-0.0006457359677625393
-47.	-0.0006429983012103464
-46.8	-0.0006403477180017557
-46.6	-0.0006376966653906098
-46.4	-0.0006349259218926034
-46.2	-0.0006321808030461043
-46.	-0.0006293055754726347
-45.8	-0.000626436242051042
-45.6	-0.000623537220684118
-45.4	-0.000620649747150108
-45.2	-0.000617796726550804
-45.	-0.0006150171130386052
-44.8	-0.0006122141081033519
-44.6	-0.000609283874103935
-44.4	-0.0006064807359198298
-44.2	-0.0006037712039898811
-44.	-0.000601006598824419
-43.8	-0.0005982318145156716
-43.6	-0.0005954693326686621
-43.4	-0.0005927113724590493
-43.2	-0.0005899427984385776
-43.	-0.0005872000667790617
-42.8	-0.0005844617308128449
-42.6	-0.0005817518112472834
-42.4	-0.0005790644512411613
-42.2	-0.0005761714272347901
-42.	-0.0005733870659769485
-41.8	-0.0005706204898618333
-41.6	-0.0005678582903590396
-41.4	-0.0005650634247680576
-41.2	-0.0005622774932135617
-41.	-0.0005594705840032985
-40.8	-0.000556579129794343
-40.6	-0.0005537657726368937
-40.4	-0.000550938457096126
-40.2	-0.0005481328991716273
-40.	-0.0005453721314757058
-39.8	-0.0005425957239244491
-39.6	-0.0005397634803304232
-39.4	-0.000537047296288155
-39.2	-0.0005343434166519886
-39.	-0.0005316356419868488
-38.8	-0.0005289582753681424
-38.6	-0.0005262459752417763
-38.4	-0.0005234688835409974
-38.2	-0.0005207620851917599
-38.	-0.0005179836634458984
-37.8	-0.0005152039325150461
-37.6	-0.0005124610619318672
-37.4	-0.0005096577723174194
-37.2	-0.0005067755889052421
-37.	-0.0005039055678738206
-36.8	-0.0005010722174510649
-36.6	-0.0004982538506382638
-36.4	-0.0004954260365367611
-36.2	-0.0004926113302971506
-36.	-0.0004897494344038333
-35.8	-0.0004869311071476642
-35.6	-0.0004841336547025075
-35.4	-0.00048137717016145156
-35.2	-0.0004786819561827793
-35.	-0.00047604598495551946
-34.8	-0.0004733114720186263
-34.6	-0.000470602295398104
-34.4	-0.00046787968396057436
-34.2	-0.00046519392234732165
-34.	-0.00046238711344822827
-33.8	-0.000459612561077324
-33.6	-0.0004567423428587732
-33.4	-0.00045387941772364644
-33.2	-0.0004511051640641586
-33.	-0.0004483147326259454
-32.8	-0.00044556790758445096
-32.6	-0.0004428834886025417
-32.4	-0.0004401674997909936
-32.2	-0.00043735451340331974
-32.	-0.0004345259726030841
-31.8	-0.00043182057021298184
-31.6	-0.00042906768958909534
-31.4	-0.0004262846027371119
-31.2	-0.00042351846111929727
-31.	-0.0004207735723890934
-30.8	-0.00041795848494611534
-30.6	-0.0004152585098628726
