Tangential Coordintae (mm)	Measured Slope (rad)
-43.4	-0.0005927586319649825
-43.2	-0.000589852538029905
-43.	-0.0005870741036589076
-42.8	-0.0005844720243744799
-42.6	-0.0005817554413172754
-42.4	-0.0005789653391610877
-42.2	-0.0005760758841158208
-42.	-0.0005732832700781199
-41.8	-0.0005705867350104046
-41.6	-0.0005677686931237059
-41.4	-0.0005649347159494791
-41.2	-0.0005622419065673302
-41.	-0.0005595499349081398
-40.8	-0.0005567262745622187
-40.6	-0.000553834182318886
-40.4	-0.0005510838081718462
-40.2	-0.0005483701354719856
-40.	-0.000545556384844094
-39.8	-0.0005427052545119141
-39.6	-0.0005397839626946453
-39.4	-0.0005370559198100277
-39.2	-0.0005342978137264582
-39.	-0.0005313359500420421
-38.8	-0.0005286400786611039
-38.6	-0.000526009206130897
-38.4	-0.0005232566409578798
-38.2	-0.000520397031901803
-38.	-0.0005177442224354383
-37.8	-0.0005151636538352406
-37.6	-0.0005125363798008759
-37.4	-0.0005097680978197942
-37.2	-0.0005069099110969315
-37.	-0.0005041049916592323
-36.8	-0.0005013451113287704
-36.6	-0.0004984945059861056
-36.4	-0.0004955089722776468
-36.2	-0.0004926695202455781
-36.	-0.0004899302689878037
-35.8	-0.00048696830198509053
-35.6	-0.0004841067190607695
-35.4	-0.00048139132956678474
-35.2	-0.0004787587259461503
-35.	-0.0004759749955486397
-34.8	-0.0004732285755049875
-34.6	-0.00047033718490076525
-34.4	-0.0004676929649202776
-34.2	-0.00046499274045087125
-34.	-0.0004620983468334755
-33.8	-0.0004593687012607451
-33.6	-0.0004567059917331762
-33.4	-0.000453968983088348
-33.2	-0.0004511128343953139
-33.	-0.0004483944250297298
-32.8	-0.00044582244561404687
-32.6	-0.0004432091094149389
-32.4	-0.0004404107764044238
-32.2	-0.000437458020191195
-32.	-0.00043470387480134523
-31.8	-0.0004319693661409655
-31.6	-0.00042904229012004136
-31.4	-0.0004260927775042378
-31.2	-0.00042339617586356084
-31.	-0.00042065718022213985
-30.8	-0.0004177903749697979
-30.6	-0.00041498939676964713
-30.4	-0.00041237428771786957
-30.2	-0.0004097660460880585
-30.	-0.00040706055781224333
-29.8	-0.00040428901844271454
-29.6	-0.0004014996336379266
-29.4	-0.00039886042035382067
-29.2	-0.00039614002730114324
-29.	-0.0003932350473747458
-28.8	-0.00039044548736068887
-28.6	-0.00038768138241545164
-28.4	-0.0003849001505949186
-28.2	-0.0003819392255883864
-28.	-0.0003791273993717743
-27.8	-0.00037641324976631356
-27.6	-0.0003736813844654338
-27.4	-0.00037085901079840635
-27.2	-0.0003679792297810972
-27.	-0.0003652404557106747
-26.8	-0.00036254671813951145
-26.6	-0.00035974250962034367
-26.4	-0.000356840058825837
-26.2	-0.00035416970737476276
-26.	-0.0003514632598702777
-25.8	-0.0003486360087136334
-25.6	-0.00034582442120879706
-25.4	-0.0003432187026214227
-25.2	-0.00034060679922838386
-25.	-0.0003379042193300972
-24.8	-0.0003351030084282152
-24.6	-0.0003322197597509818
-24.4	-0.0003295385437532022
-24.2	-0.0003268191736404231
-24.	-0.0003239124208728134
-23.8	-0.0003211104114504726
-23.6	-0.00031843881795262164
-23.4	-0.00031566667424056744
-23.2	-0.00031277188933531464
-23.	-0.00031003960628429573
-22.8	-0.0003074088826291997
-22.6	-0.0003047671948886095
-22.4	-0.0003019598139000119
-22.2	-0.0002990470753615577
-22.	-0.00029631064135893876
-21.8	-0.0002936187535365973
-21.6	-0.0002907929488304636
-21.4	-0.0002879031870357436
-21.2	-0.00028523560609212213
-21.	-0.0002825719232011028
-20.8	-0.0002797444509056563
-20.6	-0.0002769520630744223
-20.4	-0.00027429368668482147
-20.2	-0.00027169908735313485
-20.	-0.0002689701166466716
-19.8	-0.00026611339560143275
-19.6	-0.0002632077486761646
-19.4	-0.0002605455897492864
-19.2	-0.0002578272367469843
-19.	-0.00025494802277097885
-18.8	-0.00025207788305203776
-18.6	-0.0002493874278584299
-18.4	-0.00024665955367033195
-18.2	-0.00024372268283442877
-18.	-0.0002409293509582881
-17.8	-0.00023830813036014375
-17.6	-0.00023567138301359788
-17.4	-0.00023294815677313887
-17.2	-0.0002301188446217709
-17.	-0.0002273700217664025
-16.8	-0.00022474016700016437
-16.6	-0.0002219787562380986
-16.4	-0.00021909907743198503
-16.2	-0.00021631426091885388
